product_name,cost_low,cost_high,currency,min_order_quantity,unit,supplier_name,source_url
Anode materials / plates for lithium-ion battery,20.0,60.0,USD,1,kg,Dongguan Gelon Lib Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Anode_Material.html
Anode materials / plates for lithium-ion battery,40.0,50.0,USD,1,kg,Shandong Hengqiao Energy Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Anode_Material.html
Anode materials / plates for lithium-ion battery,10.0,60.0,USD,1,kg,Linyi Gold Yunji Industry Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Anode_Material.html
Artificial graphite anode material,20.0,44.0,USD,1,kg,Shandong Gelon Lib Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Artificial_Graphite_Anode_Material.html
Artificial graphite anode material,30.0,35.0,USD,1,kg,Zibo Yinxuan Carbon Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Artificial_Graphite_Anode_Material.html
Artificial graphite anode material,40.0,50.0,USD,1,kg,Shandong Hengqiao Energy Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Artificial_Graphite_Anode_Material.html
BMS (Battery Management System),44.13,64.4,USD,1,Piece,Shenzhen Intelligent Litium Battery Electronic Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
BMS (Battery Management System),75.0,120.0,USD,1,Piece,Shenzhen Kunpeng Core Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
BMS (Battery Management System),50.0,200.0,USD,1,Set,Shijiazhuang ADC Power Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
Battery can and cap assembly,4.0,6.0,USD,100,Set,Shandong Gelon Lib Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Case.html
Battery can and cap assembly,3.0,10.0,USD,100,Set,Dongguan Gelon Lib Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Case.html
Battery can and cap assembly,0.085,0.14,USD,10000,Piece,Shanghai Yihao International Trade Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Case.html
Battery case,20.0,500.0,USD,1,Set,Qingdao Hailing Innovation Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Case.html
Battery case,0.5,4.99,USD,100,Piece,Qingdao Chengenxin Industry and Trade Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Case.html
Battery case,58.0,90.0,USD,100,Piece,Shandong Gelon Lib Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Case.html
Battery cooling plate,59.9,99.9,USD,100,Piece,Nanjing Metalli Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Cooling_Plate.html
Battery cooling plate,75.0,100.0,USD,100,Piece,Dongguan Quality Innovation and Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Cooling_Plate.html
Battery cooling plate,0.79,9.9,USD,1,Piece,Dongguan Huahang Xinma Metal Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Cooling_Plate.html
Battery cooling water plate,80.0,120.0,USD,100,Piece,Dongguan Quality Innovation and Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Cooling_Plate.html
Battery cooling water plate,50.0,100.0,USD,100,Piece,Nanjing Metalli Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Cooling_Plate.html
Battery cooling water plate,55.0,65.0,USD,50,Piece,Dongguan Formal Precision Metal Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Cooling_Plate.html
Battery thermal insulation material,0.2,0.3,USD,1000,Piece,Fuzhou Fuqiang Precision Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
Battery thermal insulation material,10.0,10.0,USD,10,Piece,Ningguo BST Thermal Products Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
Battery tray,1.0,2.0,USD,1,Piece,Qingdao Xinghexing Precision Industry Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Tray.html
Battery tray,39.0,49.0,USD,30,Piece,Guangdong Baosong Industry Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Tray.html
Battery tray,20.0,500.0,USD,1,Set,Qingdao Hailing Innovation Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Tray.html
Cylindrical lithium-ion cell,1.8,1.95,USD,500,Piece,Shenzhen A&S Power Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Cylindrical_Lithium_Ion_Battery_Cell.html
Cylindrical lithium-ion cell,3.6,4.0,USD,2,Piece,Shenzhen Data Power Technology Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Cylindrical_Lithium_Ion_Battery_Cell.html
Cylindrical lithium-ion cell,0.5,1.0,USD,1000,Piece,Howell Energy Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Cylindrical_Lithium_Ion_Battery_Cell.html
Drive motor,300.0,800.0,USD,1,Piece,Nanjing Metalli Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Drive_Motor.html
EV battery cover,20.0,500.0,USD,1,Set,Qingdao Hailing Innovation Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Case.html
EV battery cover,39.0,49.0,USD,30,Piece,Guangdong Baosong Industry Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Case.html
EV battery system,2800.0,5600.0,USD,1,Piece,Hebei Nanfeng Automobile Equipment Group Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
EV battery system,300.0,800.0,USD,1,Piece,Nanjing Metalli Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
EV battery system,3100.0,3100.0,USD,1,Piece,Hebei Nanfeng Automobile Equipment Group Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
