firm_id,firm_name,nation_name,latitude,longitude,is_top_supplier,is_oem,tier_depth,product_catalog_common,Certifications
7045546,Firm_0025,Japan,35.78817,139.34744,False,False,3,Sheet metal part; Pipe part,"ISO14001, ISO9001"
1190478,Firm_0038,China,25.894989,119.37905,False,False,1,Seat; Roof trim; Interior trim,"IATF16949 (Formerly ISO/TS16949), ISO14001, QS9000"
6364519,Firm_0244,China,22.630835,114.4194,False,False,1,Cylindrical lithium-ion cell,
4265813,Firm_0079,Japan,38.47037,140.38834,False,False,3,Precision machined aluminum part,
3881613,Firm_0084,Japan,38.18238,140.1091,False,False,3,Aluminum die cast engine block; Transmission case; Other electrification parts,ISO9001
6616323,Firm_0188,China,22.771122,113.74721,False,False,2,Body reinforcement parts; Battery structural part,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
3555979,Firm_0070,China,23.222942,113.57105,False,False,2,Body reinforcement parts; Other electrification parts,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
2610341,Firm_0275,China,31.371119,120.443245,False,False,1,Motor core for drive motor,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
5632543,Firm_0094,Japan,32.87966,130.91026,False,False,3,Aluminum cast part,ISO9001
2522849,Firm_0362,China,22.664043,114.03567,False,False,2,Lithium-ion battery separator,"ISO14001, ISO9001"
3730540,Firm_0308,China,27.97153,112.86139,False,False,2,LFP cathode material; NCM cathode material,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
1310189,Firm_0377,China,27.851444,114.41497,False,False,2,Lithium carbonate; Battery-grade lithium hydroxide,
8413252,Firm_0117,China,31.60288,120.39566,False,False,1,Power window switch; Body control module (Body ECU); Various sensors; Relay,"IATF16949 (Formerly ISO/TS16949), ISO14001"
9520617,Firm_0081,Japan,34.837715,136.5358,False,False,3,CNC machined aluminum part,
7931817,Firm_0394,China,32.278503,118.380005,False,False,2,Battery cooling plate,"IATF16949 (Formerly ISO/TS16949), ISO14001"
7877162,Firm_0164,China,30.286116,121.20257,False,False,2,Battery insert molding part; Electric connector; Busbar,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
9328608,Firm_0161,China,40.176613,117.14219,False,False,1,Electric oil pump; Vacuum pump; Water pump,"IATF16949 (Formerly ISO/TS16949), ISO14001"
2897606,Firm_0282,India,18.494526,73.837006,False,False,3,Die casting machine spare part,
6838851,Firm_0359,China,32.378677,119.508865,False,False,2,New energy vehicle cable; Automotive wire,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
6846635,Firm_0054,Japan,36.534122,140.63374,False,False,3,Aluminum/zinc die cast automotive part,ISO9001
8710752,Firm_0072,Japan,35.697777,139.67685,False,False,3,Bolt / Nut; Fastener; Aluminum connector; Aluminum die cast part,ISO9001
4694531,Firm_0390,Mexico,26.006142,-100.304146,False,False,2,Oil cooler; Cooling module; Heat exchanger,
1421427,Firm_0334,China,31.332405,120.532074,False,False,1,Electric oil pump; Vacuum pump; Water pump,"IATF16949 (Formerly ISO/TS16949), ISO14001"
6206468,Firm_0023,Japan,34.71602,137.4613,True,False,2,Aluminum die cast engine block; Transmission case; Battery case,"ISO14001, ISO9001"
4282387,Firm_0291,Japan,34.75727,137.73944,False,False,3,Oil pan; Junction box,"ISO14001, ISO9001"
5554112,Firm_0078,Japan,35.79942,139.50888,False,False,3,Aluminum cast part,"ISO14001, ISO9001"
6443972,Firm_0304,India,28.458712,77.30596,False,False,3,Aluminium die-casting alloy; Aluminium alloy ingot,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
4747993,Firm_0266,China,27.840494,120.836624,False,False,1,LFP battery cell; Lithium-ion battery cell; Lithium-ion battery / Lithium-ion battery pack; Energy storage system,
8100425,Firm_0153,Japan,35.01068,137.11183,False,False,3,Transmission piston; ECU case,ISO14001
4077765,Firm_0358,China,34.20166,108.86716,False,False,2,Fuse / Circuit braker; Relay; BDU (Battery Disconnect Unit),"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
5567018,Firm_0331,China,31.29202,120.77512,False,False,2,Sensor interface IC; Motor driver IC; Gate driver IC,ISO9001
6886339,Firm_0114,China,28.06248,121.00123,False,False,3,Electric connector; Sheath assembly; Wire harness,"IATF16949 (Formerly ISO/TS16949), ISO14001"
6286178,Firm_0321,China,25.488592,119.15703,False,False,1,EV battery system; BMS (Battery Management System),
2899561,Firm_0055,Japan,36.0132086,138.1096664,False,False,3,Heat sink; Connector case; Drive motor housing,ISO9001
