relation_id,source_firm_id,target_firm_id,source_tier,product_name,is_conglomerate_supplier
1,9520617,6206468,3,CNC machined aluminum part,False
2,1622439,9465603,2,Ultra-high-purity reagent; Lithium battery material,False
3,6690574,9465603,2,Electric connector; Wire harness,False
4,5032173,9465603,2,Graphite anode material,False
5,2150375,9465603,2,Integrated electric drive system,False
6,4109305,9465603,2,Wet separator; Dry separator; Coating separator; Battery can and cap assembly,False
7,7036411,9465603,2,Battery tray,False
8,1010539,9465603,2,Lithium-ion battery electrolyte,False
9,6364519,1550011,1,Cylindrical lithium-ion cell,False
10,8677366,6206468,3,Aluminum die cast part,False
11,2610341,1550011,1,Motor core for drive motor,False
12,3093873,1550011,1,EV battery system,False
13,3093873,1550011,1,EV battery system,False
14,3093873,1550011,1,EV battery system,False
15,3093873,1550011,1,EV battery system,False
16,3093873,1550011,1,EV battery system,False
17,3093873,1550011,1,EV battery system,False
18,3093873,1550011,1,EV battery system,False
19,1681671,6206468,3,Aluminum die cast part,False
20,1224158,6206468,3,Bent pipe joint; Precision nut,False
21,5412544,1550011,1,Integrated electric drive system,False
22,6443972,6206468,3,Aluminium die-casting alloy; Aluminium alloy ingot,False
23,5554112,6206468,3,Aluminum cast part,False
24,6342596,9465603,2,Insulation film; Thermal insulation pad,False
25,8968192,9465603,2,Cable tie; Cable management accessory; Heat shrink tubing,False
26,8675613,6206468,3,Die casting mold; Trimming mold; Prototype part,False
27,1178531,6206468,3,Aluminum casting prototype,False
28,6616323,9465603,2,Battery structural part,False
29,6206468,9465603,2,Battery case,False
30,4791841,6206468,3,Gasket; Heat shield cover; Gasket,False
31,3242727,1550011,1,Drive motor,False
32,5567018,9465603,2,Sensor interface IC; Motor driver IC; Gate driver IC,False
33,9268524,6206468,3,Clutch cover; Transmission case,False
34,2083700,9465603,2,High-nickel cathode material; NCM cathode material,False
35,4158142,6206468,3,Crankcase,False
36,5632543,6206468,3,Aluminum cast part,False
37,2965123,1550011,1,Connected vehicle platform; V2X terminal; 5G T-BOX unit,False
38,1093576,6206468,3,Precision machined aluminum part,False
39,5454052,9465603,2,Lithium-ion battery electrolyte,False
40,5967774,9465603,2,Thermal management hose; Weatherstrip,False
41,3009451,9465603,2,Lithium-ion battery aluminum-plastic film; Lithium battery tab,False
42,5252436,6206468,3,Aluminum die cast part,False
43,7045546,6206468,3,Sheet metal part; Pipe part,False
44,3479957,9465603,2,DC filter capacitor; AC filter capacitor,False
45,6886339,6690574,3,Electric connector; Sheath assembly,False
46,8140492,9465603,2,Battery thermal insulation material; Battery fireproofing material,False
47,3729235,1550011,1,Tire; Tire,False
48,8100425,6206468,3,Transmission piston; ECU case,False
49,3945921,9465603,2,Battery case; Aluminum extrusion part,False
50,8722898,9465603,2,EV battery cover; Busbar,False
51,7931817,9465603,2,Battery cooling plate,False
52,7877162,9465603,2,Battery insert molding part; Busbar; Electric connector,False
53,3555979,9465603,2,Other electrification parts,False
54,1110905,9465603,2,New energy vehicle cable; Wire harness,False
55,1558277,9465603,2,Thermal silicone pad; Thermal gel,False
56,1015722,6206468,3,Precision machined part,False
57,5289395,9465603,2,Lithium-ion battery separator,False
58,4706438,6206468,3,Automotive cast part,False
59,6838851,9465603,2,New energy vehicle cable; Automotive wire,False
60,3500533,1550011,1,Airbag module; Steering wheel,False
61,2291066,9465603,2,Battery assembly production line,False
62,9465603,1550011,1,Lithium-ion battery cell; Lithium-ion battery / Lithium-ion battery pack,False
63,4265813,6206468,3,Precision machined aluminum part,False
64,5675242,6206468,3,Metal heat treatment service,False
65,2754708,1550011,1,Transformer; Various sensors,False
66,9327549,6206468,3,Transmission machined part,False
