firm_id,firm_name,nation_name,latitude,longitude,is_top_supplier,is_oem,tier_depth,product_catalog_common,Certifications
1190478,Firm_0038,China,25.894989,119.37905,False,False,1,Seat; Roof trim; Interior trim,"IATF16949 (Formerly ISO/TS16949), ISO14001, QS9000"
5284386,Firm_0322,Germany,49.15241,9.134118,False,False,2,Window glass,IATF16949 (Formerly ISO/TS16949)
7430236,Firm_0325,Germany,48.039627,10.627961,False,False,2,Fuel piping system; Transmission oil line; Fuel line,"IATF16949 (Formerly ISO/TS16949), ISO9001"
8104289,Firm_0368,China,43.808754,125.2267,False,False,2,Interior trim; Exterior decorative parts; Outside handle; Various lamps,"IATF16949 (Formerly ISO/TS16949), ISO14001"
6616323,Firm_0188,China,22.771122,113.74721,False,False,2,Body reinforcement parts; Battery structural part,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001"
9002574,Firm_0383,Spain,41.311123,1.2694323,False,False,2,Zinc die cast part,IATF16949 (Formerly ISO/TS16949)
9770063,Firm_0142,China,22.04511,113.37464,False,False,1,Dry clutch; Dual mass flywheel; Torque damper; Wet clutch,"IATF16949 (Formerly ISO/TS16949), ISO14001, ISO9001, QS9000, VDA6.1"
9050460,Firm_0014,Germany,50.250587,10.967141,True,False,1,Door lock; Door drive; Liftgate drive; Seat frame; Various motors,"IATF16949 (Formerly ISO/TS16949), ISO14001"
9372387,Firm_0320,India,28.447502,76.99609,False,False,3,Hose; Wire harness; Moulded rubber part,
7713840,Firm_0299,India,18.520508,73.856766,False,False,3,CNC machined part; Joint; Sheet metal part,ISO9001
9419981,Firm_0013,India,11.127123,78.65689,False,False,2,Various sensors; Various instrument switches; Solenoid / Solenoid valve; Wire harness,"IATF16949 (Formerly ISO/TS16949), ISO9001, VDA6.1"
9589865,Firm_0281,India,28.097479,76.58928,False,False,3,CNC machined part,ISO9001
9576531,Firm_0020,India,28.641012,77.248184,False,False,2,Sheet metal part; Die casting mold,"IATF16949 (Formerly ISO/TS16949), QS9000, VDA6.1"
6464987,Firm_0310,India,18.596117,73.72307,False,False,3,Joint; Bolt / Nut; Electric connector; Fastener,ISO9001
